;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
195;jeune;3674527;0,007580484;;;;;;;;;;;;;;;;;;;;;;
196;lieu;3635318;0,007499597;;;;;;;;;;;;;;;;;;;;;;
197;oui;3622405;0,007472958;;;;;;;;;;;;;;;;;;;;;;
198;nombre;3608462;0,007444193;;;;;;;;;;;;;;;;;;;;;;
199;maintenant;3586606;0,007399105;;;;;;;;;;;;;;;;;;;;;;
200;niveau;3580583;0,007386679;;;;;;;;;;;;;;;;;;;;;;
201;gens;3575829;0,007376872;;;;;;;;;;;;;;;;;;;;;;
202;groupe;3551750;0,007327198;;;;;;;;;;;;;;;;;;;;;;
203;maison;3537379;0,00729755;;;;;;;;;;;;;;;;;;;;;;
204;eau;3522022;0,007265869;;;;;;;;;;;;;;;;;;;;;;
205;savoir;3495565;0,007211289;;;;;;;;;;;;;;;;;;;;;;
206;seul;3494595;0,007209288;;;;;;;;;;;;;;;;;;;;;;
207;quoi;3490274;0,007200374;;;;;;;;;;;;;;;;;;;;;;
208;dernier;3473310;0,007165377;;;;;;;;;;;;;;;;;;;;;;
209;droit;3466855;0,007152061;;;;;;;;;;;;;;;;;;;;;;
210;avez;3465979;0,007150253;;;;;;;;;;;;;;;;;;;;;;
211;vu;3460109;0,007138144;;;;;;;;;;;;;;;;;;;;;;
212;petite;3447788;0,007112726;;;;;;;;;;;;;;;;;;;;;;
213;nom;3419884;0,00705516;;;;;;;;;;;;;;;;;;;;;;
214;quelque;3410611;0,00703603;;;;;;;;;;;;;;;;;;;;;;
215;assez;3392503;0,006998674;;;;;;;;;;;;;;;;;;;;;;
216;serait;3372571;0,006957554;;;;;;;;;;;;;;;;;;;;;;
217;ni;3356926;0,006925279;;;;;;;;;;;;;;;;;;;;;;
218;devant;3324391;0,00685816;;;;;;;;;;;;;;;;;;;;;;
219;seulement;3316794;0,006842487;;;;;;;;;;;;;;;;;;;;;;
220;eux;3307966;0,006824275;;;;;;;;;;;;;;;;;;;;;;
221;ensemble;3304612;0,006817356;;;;;;;;;;;;;;;;;;;;;;
222;ville;3302345;0,006812679;;;;;;;;;;;;;;;;;;;;;;
223;français;3266617;0,006738973;;;;;;;;;;;;;;;;;;;;;;
224;politique;3263124;0,006731767;;;;;;;;;;;;;;;;;;;;;;
225;besoin;3248745;0,006702104;;;;;;;;;;;;;;;;;;;;;;
226;internet;3234291;0,006672285;;;;;;;;;;;;;;;;;;;;;;
227;ton;3222717;0,006648408;;;;;;;;;;;;;;;;;;;;;;
228;trouve;3164774;0,006528873;;;;;;;;;;;;;;;;;;;;;;
229;dieu;3148446;0,006495188;;;;;;;;;;;;;;;;;;;;;;
230;recherche;3135716;0,006468927;;;;;;;;;;;;;;;;;;;;;;
231;façon;3134087;0,006465566;;;;;;;;;;;;;;;;;;;;;;
232;permet;3113373;0,006422834;;;;;;;;;;;;;;;;;;;;;;
233;projet;3112156;0,006420323;;;;;;;;;;;;;;;;;;;;;;
234;aller;3111155;0,006418258;;;;;;;;;;;;;;;;;;;;;;
235;coup;3108428;0,006412632;;;;;;;;;;;;;;;;;;;;;;
236;sens;3092241;0,006379239;;;;;;;;;;;;;;;;;;;;;;
237;t?te;3081688;0,006357468;;;;;;;;;;;;;;;;;;;;;;
238;possible;3018898;0,006227933;;;;;;;;;;;;;;;;;;;;;;
239;syst?me;3013886;0,006217594;;;;;;;;;;;;;;;;;;;;;;
240;mise;3011707;0,006213098;;;;;;;;;;;;;;;;;;;;;;
241;femme;3008910;0,006207328;;;;;;;;;;;;;;;;;;;;;;
242;aurait;2989730;0,00616776;;;;;;;;;;;;;;;;;;;;;;
243;celle;2988439;0,006165097;;;;;;;;;;;;;;;;;;;;;;
